"Id partie","Nom du joueur","Prix moyen des citadelles achetées","Rôle préféré","Nombre de fois où il assassine","Nombre de fois où il s'est fait assassiner","Score","Victoire","Egalite"
"192","AlwaysSpendPlayer","4 pièces","CONDOTTIERE","1","1","16","Non","Non"
"192","MattPlayer","2 pièces","MARCHAND","0","1","7","Non","Non"
"193","MattPlayer","2 pièces","MARCHAND","0","0","12","Non","Non"
"193","AlwaysSpendPlayer","2 pièces","ASSASSIN","2","0","12","Non","Non"
"193","ThomasPlayer","2 pièces","ARCHITECTE","0","0","28","Oui","Non"
"193","RandomPlayer","2 pièces","VOLEUR","0","0","11","Non","Non"
"194","RandomPlayer","2 pièces","ROI","0","2","21","Non","Non"
"194","ThomasPlayer","3 pièces","CONDOTTIERE","3","0","28","Oui","Non"
"194","AlwaysSpendPlayer","2 pièces","ASSASSIN","4","1","17","Non","Non"
"194","MattPlayer","2 pièces","MARCHAND","1","1","27","Non","Non"
"195","MattPlayer","3 pièces","MARCHAND","4","0","18","Non","Non"
"195","AlwaysSpendPlayer","3 pièces","EVEQUE","0","0","25","Non","Non"
"195","RandomPlayer","1 pièces","MAGICIEN","1","1","13","Non","Non"
"195","ThomasPlayer","3 pièces","EVEQUE","1","1","35","Oui","Non"
"196","AlwaysSpendPlayer","3 pièces","ROI","0","0","22","Oui","Non"
"196","RandomPlayer","2 pièces","MAGICIEN","0","0","18","Non","Non"
"196","MattPlayer","2 pièces","MARCHAND","2","0","21","Non","Non"
"196","ThomasPlayer","2 pièces","CONDOTTIERE","2","0","17","Non","Non"
"197","ThomasPlayer","2 pièces","CONDOTTIERE","2","2","11","Non","Non"
"197","RandomPlayer","2 pièces","MAGICIEN","1","0","14","Non","Non"
"197","AlwaysSpendPlayer","3 pièces","ROI","0","0","21","Non","Non"
"197","MattPlayer","2 pièces","MARCHAND","1","0","28","Oui","Non"
"198","RandomPlayer","2 pièces","ROI","1","0","24","Non","Non"
"198","ThomasPlayer","3 pièces","CONDOTTIERE","0","0","21","Non","Non"
"198","AlwaysSpendPlayer","3 pièces","MAGICIEN","1","0","21","Non","Non"
"198","MattPlayer","3 pièces","MARCHAND","1","0","29","Oui","Non"
"199","ThomasPlayer","3 pièces","ARCHITECTE","1","0","29","Oui","Non"
"199","RandomPlayer","1 pièces","EVEQUE","1","1","10","Non","Non"
"199","AlwaysSpendPlayer","3 pièces","EVEQUE","1","0","23","Non","Non"
"199","MattPlayer","3 pièces","MARCHAND","3","0","18","Non","Non"
"200","RandomPlayer","1 pièces","MAGICIEN","1","1","7","Non","Non"
"200","AlwaysSpendPlayer","4 pièces","ROI","1","2","19","Non","Non"
"200","MattPlayer","2 pièces","ASSASSIN","3","1","11","Non","Non"
"200","ThomasPlayer","3 pièces","CONDOTTIERE","0","0","34","Oui","Non"
"201","MattPlayer","2 pièces","MARCHAND","1","0","13","Non","Non"
"201","ThomasPlayer","2 pièces","ARCHITECTE","0","1","26","Oui","Non"
"201","AlwaysSpendPlayer","2 pièces","ASSASSIN","2","0","21","Non","Non"
"201","RandomPlayer","1 pièces","ROI","1","0","10","Non","Non"
"202","AlwaysSpendPlayer","3 pièces","MAGICIEN","2","1","30","Oui","Non"
"202","RandomPlayer","2 pièces","EVEQUE","1","1","15","Non","Non"
"202","MattPlayer","3 pièces","MARCHAND","2","0","15","Non","Non"
"202","ThomasPlayer","3 pièces","CONDOTTIERE","3","0","21","Non","Non"
"203","AlwaysSpendPlayer","4 pièces","ROI","1","0","20","Non","Non"
"203","RandomPlayer","2 pièces","ASSASSIN","4","1","14","Non","Non"
"203","MattPlayer","3 pièces","MARCHAND","1","0","19","Non","Non"
"203","ThomasPlayer","2 pièces","ARCHITECTE","1","1","24","Oui","Non"
"204","MattPlayer","2 pièces","MARCHAND","0","0","27","Oui","Non"
"204","ThomasPlayer","3 pièces","CONDOTTIERE","0","1","18","Non","Non"
"204","RandomPlayer","1 pièces","ASSASSIN","3","0","9","Non","Non"
"204","AlwaysSpendPlayer","2 pièces","VOLEUR","1","0","20","Non","Non"
"205","AlwaysSpendPlayer","2 pièces","ASSASSIN","3","0","17","Non","Non"
"205","RandomPlayer","1 pièces","VOLEUR","1","3","7","Non","Non"
"205","ThomasPlayer","3 pièces","CONDOTTIERE","1","2","25","Oui","Non"
"205","MattPlayer","2 pièces","MARCHAND","3","0","22","Non","Non"
"206","MattPlayer","2 pièces","MARCHAND","1","1","12","Non","Non"
"206","ThomasPlayer","2 pièces","ARCHITECTE","0","1","27","Oui","Non"
"206","AlwaysSpendPlayer","2 pièces","ROI","1","0","17","Non","Non"
"206","RandomPlayer","1 pièces","VOLEUR","2","0","5","Non","Non"
"207","RandomPlayer","2 pièces","ASSASSIN","3","0","19","Non","Non"
"207","ThomasPlayer","2 pièces","CONDOTTIERE","2","1","12","Non","Non"
"207","MattPlayer","2 pièces","MARCHAND","1","2","27","Oui","Non"
"207","AlwaysSpendPlayer","3 pièces","VOLEUR","2","2","15","Non","Non"
"208","AlwaysSpendPlayer","2 pièces","ARCHITECTE","0","0","23","Non","Non"
"208","MattPlayer","2 pièces","MARCHAND","2","1","13","Non","Non"
"208","RandomPlayer","2 pièces","MAGICIEN","1","0","8","Non","Non"
"208","ThomasPlayer","3 pièces","CONDOTTIERE","0","0","25","Oui","Non"
"209","AlwaysSpendPlayer","2 pièces","MAGICIEN","3","1","10","Non","Non"
"209","MattPlayer","2 pièces","ARCHITECTE","1","2","21","Non","Non"
"209","RandomPlayer","2 pièces","MAGICIEN","2","0","26","Non","Non"
"209","ThomasPlayer","3 pièces","CONDOTTIERE","2","1","32","Oui","Non"
"210","RandomPlayer","2 pièces","VOLEUR","1","0","7","Non","Non"
"210","MattPlayer","2 pièces","MARCHAND","1","0","21","Oui","Non"
"210","ThomasPlayer","2 pièces","CONDOTTIERE","0","0","15","Non","Non"
"210","AlwaysSpendPlayer","3 pièces","VOLEUR","1","1","20","Non","Non"
"211","MattPlayer","2 pièces","MARCHAND","0","0","24","Oui","Non"
"211","ThomasPlayer","2 pièces","CONDOTTIERE","2","1","14","Non","Non"
"211","RandomPlayer","1 pièces","EVEQUE","2","0","14","Non","Non"
"211","AlwaysSpendPlayer","2 pièces","ROI","0","0","15","Non","Non"
"212","RandomPlayer","1 pièces","VOLEUR","2","0","7","Non","Non"
"212","MattPlayer","2 pièces","MARCHAND","0","0","22","Non","Non"
"212","AlwaysSpendPlayer","2 pièces","MAGICIEN","0","0","17","Non","Non"
"212","ThomasPlayer","2 pièces","ARCHITECTE","0","0","24","Oui","Non"
"213","RandomPlayer","2 pièces","ASSASSIN","3","1","19","Non","Non"
"213","MattPlayer","3 pièces","MARCHAND","1","0","32","Oui","Non"
"213","ThomasPlayer","2 pièces","CONDOTTIERE","1","1","18","Non","Non"
"213","AlwaysSpendPlayer","3 pièces","MAGICIEN","1","1","22","Non","Non"
"214","AlwaysSpendPlayer","3 pièces","EVEQUE","0","2","12","Non","Non"
"214","RandomPlayer","2 pièces","VOLEUR","1","0","16","Non","Non"
"214","ThomasPlayer","2 pièces","ARCHITECTE","2","0","26","Oui","Non"
"214","MattPlayer","2 pièces","MARCHAND","0","1","18","Non","Non"
"215","RandomPlayer","2 pièces","ARCHITECTE","1","1","12","Non","Non"
"215","ThomasPlayer","2 pièces","CONDOTTIERE","1","0","12","Non","Non"
"215","MattPlayer","2 pièces","MARCHAND","0","0","24","Oui","Non"
"215","AlwaysSpendPlayer","2 pièces","VOLEUR","1","0","20","Non","Non"
"216","ThomasPlayer","2 pièces","ARCHITECTE","0","1","18","Non","Non"
"216","RandomPlayer","2 pièces","MAGICIEN","0","1","7","Non","Non"
"216","AlwaysSpendPlayer","3 pièces","VOLEUR","1","0","25","Non","Non"
"216","MattPlayer","2 pièces","EVEQUE","2","0","30","Oui","Non"
"217","AlwaysSpendPlayer","4 pièces","ASSASSIN","3","1","18","Non","Non"
"217","ThomasPlayer","2 pièces","ARCHITECTE","3","0","21","Oui","Non"
"217","RandomPlayer","2 pièces","VOLEUR","0","0","10","Non","Non"
"217","MattPlayer","2 pièces","MARCHAND","0","0","9","Non","Non"
"218","ThomasPlayer","2 pièces","ARCHITECTE","2","1","30","Oui","Non"
"218","AlwaysSpendPlayer","3 pièces","CONDOTTIERE","1","1","14","Non","Non"
"218","MattPlayer","3 pièces","MARCHAND","0","0","12","Non","Non"
"218","RandomPlayer","1 pièces","VOLEUR","0","1","9","Non","Non"
"219","RandomPlayer","2 pièces","VOLEUR","1","0","24","Non","Non"
"219","AlwaysSpendPlayer","3 pièces","ASSASSIN","3","0","18","Non","Non"
"219","ThomasPlayer","3 pièces","CONDOTTIERE","0","1","34","Oui","Non"
"219","MattPlayer","3 pièces","MARCHAND","2","0","24","Non","Non"
"220","AlwaysSpendPlayer","3 pièces","EVEQUE","1","0","12","Non","Non"
"220","ThomasPlayer","2 pièces","ARCHITECTE","0","0","27","Oui","Non"
"220","MattPlayer","2 pièces","MARCHAND","2","1","7","Non","Non"
"220","RandomPlayer","2 pièces","MAGICIEN","0","0","15","Non","Non"
"221","MattPlayer","2 pièces","MARCHAND","3","0","21","Non","Non"
"221","AlwaysSpendPlayer","2 pièces","ROI","1","0","19","Non","Non"
"221","ThomasPlayer","2 pièces","CONDOTTIERE","1","0","30","Oui","Non"
"221","RandomPlayer","2 pièces","EVEQUE","2","2","10","Non","Non"
"222","RandomPlayer","2 pièces","ROI","1","1","17","Non","Non"
"222","ThomasPlayer","2 pièces","ARCHITECTE","1","3","23","Oui","Non"
"222","MattPlayer","2 pièces","MARCHAND","1","0","19","Non","Non"
"222","AlwaysSpendPlayer","3 pièces","MAGICIEN","3","1","21","Non","Non"
"223","AlwaysSpendPlayer","3 pièces","MARCHAND","3","1","32","Oui","Non"
"223","RandomPlayer","1 pièces","EVEQUE","2","2","11","Non","Non"
"223","MattPlayer","3 pièces","ARCHITECTE","3","2","7","Non","Non"
"223","ThomasPlayer","3 pièces","MAGICIEN","0","1","23","Non","Non"
"224","MattPlayer","2 pièces","MARCHAND","2","1","12","Non","Non"
"224","RandomPlayer","2 pièces","ASSASSIN","3","2","11","Non","Non"
"224","AlwaysSpendPlayer","3 pièces","ASSASSIN","2","0","37","Oui","Non"
"224","ThomasPlayer","3 pièces","ARCHITECTE","1","1","27","Non","Non"
"225","AlwaysSpendPlayer","3 pièces","MAGICIEN","0","1","16","Non","Non"
"225","RandomPlayer","2 pièces","ASSASSIN","3","0","21","Non","Non"
"225","ThomasPlayer","3 pièces","ARCHITECTE","1","0","33","Oui","Non"
"225","MattPlayer","1 pièces","ARCHITECTE","0","0","9","Non","Non"
"226","RandomPlayer","3 pièces","VOLEUR","1","1","28","Oui","Non"
"226","ThomasPlayer","2 pièces","ARCHITECTE","0","0","17","Non","Non"
"226","MattPlayer","2 pièces","MARCHAND","2","0","16","Non","Non"
"226","AlwaysSpendPlayer","1 pièces","ROI","1","0","7","Non","Non"
"227","RandomPlayer","1 pièces","ASSASSIN","2","0","5","Non","Non"
"227","MattPlayer","2 pièces","MARCHAND","0","1","9","Non","Non"
"227","AlwaysSpendPlayer","3 pièces","EVEQUE","2","0","19","Non","Non"
"227","ThomasPlayer","2 pièces","ARCHITECTE","0","1","22","Oui","Non"
"228","MattPlayer","2 pièces","ARCHITECTE","0","0","21","Non","Non"
"228","AlwaysSpendPlayer","2 pièces","ASSASSIN","3","0","21","Non","Non"
"228","ThomasPlayer","2 pièces","ARCHITECTE","0","0","22","Oui","Non"
"228","RandomPlayer","2 pièces","ROI","1","0","13","Non","Non"
"229","AlwaysSpendPlayer","2 pièces","VOLEUR","1","0","16","Non","Non"
"229","RandomPlayer","2 pièces","ASSASSIN","2","0","13","Non","Non"
"229","MattPlayer","2 pièces","MARCHAND","1","0","29","Oui","Non"
"229","ThomasPlayer","3 pièces","ARCHITECTE","0","2","18","Non","Non"
"230","MattPlayer","2 pièces","MARCHAND","1","0","29","Oui","Non"
"230","RandomPlayer","2 pièces","MAGICIEN","2","0","11","Non","Non"
"230","ThomasPlayer","2 pièces","EVEQUE","0","0","17","Non","Non"
"230","AlwaysSpendPlayer","2 pièces","VOLEUR","2","0","8","Non","Non"
"231","ThomasPlayer","3 pièces","CONDOTTIERE","0","0","35","Oui","Non"
"231","MattPlayer","2 pièces","MARCHAND","1","1","20","Non","Non"
"231","AlwaysSpendPlayer","2 pièces","MAGICIEN","1","0","10","Non","Non"
"231","RandomPlayer","2 pièces","EVEQUE","0","0","10","Non","Non"
"232","AlwaysSpendPlayer","3 pièces","ASSASSIN","2","0","19","Non","Non"
"232","RandomPlayer","2 pièces","MAGICIEN","1","0","19","Non","Non"
"232","MattPlayer","2 pièces","ARCHITECTE","0","1","25","Oui","Non"
"232","ThomasPlayer","3 pièces","VOLEUR","0","0","22","Non","Non"
"233","AlwaysSpendPlayer","3 pièces","MAGICIEN","1","0","18","Non","Non"
"233","ThomasPlayer","2 pièces","ARCHITECTE","1","0","30","Oui","Non"
"233","MattPlayer","3 pièces","MARCHAND","0","1","22","Non","Non"
"233","RandomPlayer","3 pièces","ASSASSIN","2","1","15","Non","Non"
"234","ThomasPlayer","3 pièces","CONDOTTIERE","0","0","31","Oui","Non"
"234","RandomPlayer","2 pièces","ASSASSIN","2","0","15","Non","Non"
"234","MattPlayer","3 pièces","MARCHAND","1","0","10","Non","Non"
"234","AlwaysSpendPlayer","2 pièces","VOLEUR","0","1","9","Non","Non"
"235","MattPlayer","2 pièces","MARCHAND","1","0","11","Non","Non"
"235","ThomasPlayer","2 pièces","ARCHITECTE","1","0","26","Oui","Non"
"235","RandomPlayer","2 pièces","ROI","0","1","14","Non","Non"
"235","AlwaysSpendPlayer","2 pièces","VOLEUR","1","2","10","Non","Non"
"236","ThomasPlayer","2 pièces","CONDOTTIERE","0","0","11","Non","Non"
"236","MattPlayer","1 pièces","ARCHITECTE","0","1","12","Non","Non"
"236","AlwaysSpendPlayer","4 pièces","EVEQUE","2","0","16","Non","Non"
"236","RandomPlayer","2 pièces","VOLEUR","2","0","30","Oui","Non"
"237","RandomPlayer","2 pièces","ARCHITECTE","1","0","27","Oui","Non"
"237","MattPlayer","2 pièces","ARCHITECTE","1","1","16","Non","Non"
"237","AlwaysSpendPlayer","3 pièces","ROI","1","0","17","Non","Non"
"237","ThomasPlayer","2 pièces","CONDOTTIERE","1","1","11","Non","Non"
"238","ThomasPlayer","3 pièces","ARCHITECTE","0","0","28","Oui","Non"
"238","MattPlayer","2 pièces","MARCHAND","0","0","14","Non","Non"
"238","RandomPlayer","1 pièces","MAGICIEN","1","0","5","Non","Non"
"238","AlwaysSpendPlayer","3 pièces","ASSASSIN","2","0","17","Non","Non"
"239","MattPlayer","2 pièces","MARCHAND","1","0","23","Oui","Non"
"239","RandomPlayer","2 pièces","VOLEUR","1","0","13","Non","Non"
"239","ThomasPlayer","3 pièces","CONDOTTIERE","2","0","21","Non","Non"
"239","AlwaysSpendPlayer","4 pièces","EVEQUE","1","2","19","Non","Non"
"240","ThomasPlayer","2 pièces","CONDOTTIERE","0","1","17","Non","Non"
"240","AlwaysSpendPlayer","3 pièces","ROI","2","1","23","Non","Non"
"240","RandomPlayer","3 pièces","ASSASSIN","2","0","18","Non","Non"
"240","MattPlayer","3 pièces","MARCHAND","1","0","33","Oui","Non"
"241","MattPlayer","2 pièces","ASSASSIN","4","2","8","Non","Non"
"241","RandomPlayer","2 pièces","ASSASSIN","2","2","17","Non","Non"
"241","ThomasPlayer","2 pièces","CONDOTTIERE","0","0","12","Non","Non"
"241","AlwaysSpendPlayer","3 pièces","ROI","0","0","29","Oui","Non"
"242","MattPlayer","2 pièces","MARCHAND","1","1","27","Non","Non"
"242","AlwaysSpendPlayer","2 pièces","ROI","4","1","25","Non","Non"
"242","ThomasPlayer","3 pièces","ARCHITECTE","2","1","30","Oui","Non"
"242","RandomPlayer","3 pièces","MAGICIEN","1","0","23","Non","Non"
"243","MattPlayer","4 pièces","MARCHAND","1","0","39","Oui","Non"
"243","RandomPlayer","2 pièces","EVEQUE","1","0","14","Non","Non"
"243","AlwaysSpendPlayer","3 pièces","VOLEUR","2","0","19","Non","Non"
"243","ThomasPlayer","3 pièces","CONDOTTIERE","0","0","34","Non","Non"
"244","RandomPlayer","2 pièces","VOLEUR","1","0","28","Non","Non"
"244","ThomasPlayer","3 pièces","CONDOTTIERE","0","0","29","Oui","Non"
"244","MattPlayer","3 pièces","ARCHITECTE","2","2","22","Non","Non"
"244","AlwaysSpendPlayer","3 pièces","MAGICIEN","2","0","24","Non","Non"
"245","MattPlayer","3 pièces","ASSASSIN","7","1","9","Non","Non"
"245","AlwaysSpendPlayer","2 pièces","EVEQUE","0","2","9","Non","Non"
"245","RandomPlayer","2 pièces","MAGICIEN","0","1","29","Oui","Non"
"245","ThomasPlayer","3 pièces","ARCHITECTE","1","2","20","Non","Non"
"246","RandomPlayer","3 pièces","CONDOTTIERE","2","0","21","Non","Non"
"246","MattPlayer","4 pièces","MARCHAND","1","0","31","Non","Non"
"246","ThomasPlayer","2 pièces","ARCHITECTE","1","0","28","Non","Non"
"246","AlwaysSpendPlayer","3 pièces","MAGICIEN","1","0","33","Oui","Non"
"247","MattPlayer","2 pièces","MARCHAND","0","0","26","Oui","Non"
"247","ThomasPlayer","3 pièces","CONDOTTIERE","0","0","18","Non","Non"
"247","RandomPlayer","3 pièces","VOLEUR","1","0","15","Non","Non"
"247","AlwaysSpendPlayer","2 pièces","MAGICIEN","0","0","16","Non","Non"
"248","AlwaysSpendPlayer","3 pièces","EVEQUE","2","0","17","Non","Non"
"248","ThomasPlayer","2 pièces","CONDOTTIERE","1","1","20","Non","Non"
"248","RandomPlayer","1 pièces","VOLEUR","2","1","12","Non","Non"
"248","MattPlayer","2 pièces","MARCHAND","0","0","28","Oui","Non"
"249","AlwaysSpendPlayer","3 pièces","MAGICIEN","1","0","30","Oui","Non"
"249","MattPlayer","3 pièces","MARCHAND","2","2","14","Non","Non"
"249","RandomPlayer","1 pièces","VOLEUR","2","1","13","Non","Non"
"249","ThomasPlayer","2 pièces","CONDOTTIERE","0","1","22","Non","Non"
"250","ThomasPlayer","3 pièces","CONDOTTIERE","0","0","21","Non","Non"
"250","AlwaysSpendPlayer","3 pièces","MAGICIEN","2","0","18","Non","Non"
"250","RandomPlayer","2 pièces","VOLEUR","0","0","5","Non","Non"
"250","MattPlayer","2 pièces","MARCHAND","0","0","22","Oui","Non"
"251","MattPlayer","3 pièces","MARCHAND","3","1","30","Oui","Non"
"251","AlwaysSpendPlayer","2 pièces","ASSASSIN","4","0","9","Non","Non"
"251","ThomasPlayer","3 pièces","ARCHITECTE","0","1","23","Non","Non"
"251","RandomPlayer","2 pièces","MAGICIEN","2","0","13","Non","Non"
"252","RandomPlayer","1 pièces","VOLEUR","0","0","7","Non","Non"
"252","MattPlayer","1 pièces","ARCHITECTE","0","1","18","Oui","Non"
"252","AlwaysSpendPlayer","3 pièces","ASSASSIN","2","0","9","Non","Non"
"252","ThomasPlayer","3 pièces","CONDOTTIERE","2","1","13","Non","Non"
"253","AlwaysSpendPlayer","2 pièces","MAGICIEN","1","0","16","Non","Non"
"253","MattPlayer","2 pièces","MARCHAND","1","1","12","Non","Non"
"253","RandomPlayer","1 pièces","EVEQUE","1","1","4","Non","Non"
"253","ThomasPlayer","2 pièces","ARCHITECTE","0","0","21","Oui","Non"
"254","MattPlayer","2 pièces","MARCHAND","0","0","10","Non","Non"
"254","RandomPlayer","1 pièces","VOLEUR","1","1","7","Non","Non"
"254","AlwaysSpendPlayer","3 pièces","EVEQUE","1","0","15","Non","Non"
"254","ThomasPlayer","2 pièces","EVEQUE","0","0","24","Oui","Non"
"255","ThomasPlayer","2 pièces","CONDOTTIERE","1","1","27","Oui","Non"
"255","AlwaysSpendPlayer","3 pièces","ASSASSIN","5","0","9","Non","Non"
"255","RandomPlayer","2 pièces","ROI","1","1","15","Non","Non"
"255","MattPlayer","3 pièces","MARCHAND","1","0","22","Non","Non"
"256","RandomPlayer","2 pièces","VOLEUR","0","2","12","Non","Non"
"256","ThomasPlayer","2 pièces","ARCHITECTE","2","0","30","Oui","Non"
"256","MattPlayer","2 pièces","MARCHAND","2","1","12","Non","Non"
"256","AlwaysSpendPlayer","3 pièces","EVEQUE","2","0","22","Non","Non"
"257","MattPlayer","3 pièces","MARCHAND","3","1","16","Non","Non"
"257","RandomPlayer","1 pièces","ARCHITECTE","0","2","10","Non","Non"
"257","AlwaysSpendPlayer","3 pièces","ASSASSIN","2","0","23","Non","Non"
"257","ThomasPlayer","3 pièces","CONDOTTIERE","1","0","34","Oui","Non"
"258","ThomasPlayer","2 pièces","CONDOTTIERE","0","1","16","Non","Non"
"258","RandomPlayer","1 pièces","ASSASSIN","4","1","5","Non","Non"
"258","MattPlayer","2 pièces","MARCHAND","0","0","25","Oui","Non"
"258","AlwaysSpendPlayer","3 pièces","MAGICIEN","2","2","9","Non","Non"
"259","RandomPlayer","2 pièces","MAGICIEN","0","1","15","Non","Non"
"259","ThomasPlayer","3 pièces","CONDOTTIERE","1","1","29","Oui","Non"
"259","MattPlayer","2 pièces","ARCHITECTE","0","1","27","Non","Non"
"259","AlwaysSpendPlayer","3 pièces","ASSASSIN","3","0","21","Non","Non"
"260","ThomasPlayer","3 pièces","MAGICIEN","2","2","19","Non","Non"
"260","AlwaysSpendPlayer","2 pièces","MARCHAND","1","0","12","Non","Non"
"260","MattPlayer","3 pièces","ARCHITECTE","0","1","31","Oui","Non"
"260","RandomPlayer","2 pièces","ASSASSIN","4","0","23","Non","Non"
"261","ThomasPlayer","2 pièces","CONDOTTIERE","1","2","13","Non","Non"
"261","AlwaysSpendPlayer","3 pièces","ROI","2","1","21","Non","Non"
"261","MattPlayer","2 pièces","MARCHAND","1","1","25","Oui","Non"
"261","RandomPlayer","3 pièces","VOLEUR","2","1","15","Non","Non"
"262","AlwaysSpendPlayer","2 pièces","VOLEUR","2","0","11","Non","Non"
"262","ThomasPlayer","3 pièces","ARCHITECTE","1","2","36","Oui","Non"
"262","MattPlayer","2 pièces","MARCHAND","1","2","19","Non","Non"
"262","RandomPlayer","3 pièces","ASSASSIN","4","0","21","Non","Non"
"263","RandomPlayer","3 pièces","VOLEUR","0","0","19","Non","Non"
"263","MattPlayer","3 pièces","ASSASSIN","3","0","12","Non","Non"
"263","ThomasPlayer","2 pièces","CONDOTTIERE","0","1","14","Non","Non"
"263","AlwaysSpendPlayer","2 pièces","EVEQUE","2","0","28","Oui","Non"
"264","MattPlayer","2 pièces","ARCHITECTE","2","0","19","Non","Non"
"264","ThomasPlayer","3 pièces","CONDOTTIERE","1","0","29","Oui","Non"
"264","RandomPlayer","2 pièces","VOLEUR","2","0","19","Non","Non"
"264","AlwaysSpendPlayer","2 pièces","ROI","1","0","22","Non","Non"
"265","ThomasPlayer","3 pièces","CONDOTTIERE","0","0","21","Non","Non"
"265","RandomPlayer","2 pièces","MAGICIEN","2","0","13","Non","Non"
"265","MattPlayer","2 pièces","MARCHAND","1","0","24","Oui","Non"
"265","AlwaysSpendPlayer","2 pièces","EVEQUE","1","0","21","Non","Non"
"266","AlwaysSpendPlayer","3 pièces","MAGICIEN","2","0","30","Oui","Non"
"266","MattPlayer","2 pièces","MARCHAND","3","2","20","Non","Non"
"266","RandomPlayer","2 pièces","CONDOTTIERE","1","2","18","Non","Non"
"266","ThomasPlayer","2 pièces","CONDOTTIERE","1","0","15","Non","Non"
"267","ThomasPlayer","3 pièces","CONDOTTIERE","1","0","22","Non","Non"
"267","MattPlayer","3 pièces","MARCHAND","0","1","34","Oui","Non"
"267","AlwaysSpendPlayer","2 pièces","ASSASSIN","4","2","18","Non","Non"
"267","RandomPlayer","2 pièces","ASSASSIN","3","0","20","Non","Non"
"268","RandomPlayer","2 pièces","ASSASSIN","3","0","13","Non","Non"
"268","MattPlayer","2 pièces","ARCHITECTE","1","1","22","Oui","Non"
"268","AlwaysSpendPlayer","4 pièces","VOLEUR","1","0","18","Non","Non"
"268","ThomasPlayer","2 pièces","ARCHITECTE","0","1","18","Non","Non"
"269","ThomasPlayer","2 pièces","MAGICIEN","0","0","12","Non","Non"
"269","AlwaysSpendPlayer","3 pièces","ROI","0","1","9","Non","Non"
"269","MattPlayer","2 pièces","ARCHITECTE","2","0","23","Oui","Non"
"269","RandomPlayer","1 pièces","EVEQUE","0","0","9","Non","Non"
"270","MattPlayer","2 pièces","MARCHAND","2","0","18","Non","Non"
"270","ThomasPlayer","3 pièces","CONDOTTIERE","1","1","32","Oui","Non"
"270","AlwaysSpendPlayer","2 pièces","MAGICIEN","0","0","23","Non","Non"
"270","RandomPlayer","2 pièces","EVEQUE","3","0","19","Non","Non"
"271","ThomasPlayer","2 pièces","ARCHITECTE","1","0","24","Non","Non"
"271","AlwaysSpendPlayer","3 pièces","EVEQUE","1","1","29","Oui","Non"
"271","RandomPlayer","2 pièces","VOLEUR","1","0","17","Non","Non"
"271","MattPlayer","3 pièces","MARCHAND","0","1","13","Non","Non"
"272","MattPlayer","2 pièces","ASSASSIN","4","1","16","Non","Non"
"272","ThomasPlayer","3 pièces","ARCHITECTE","0","2","31","Oui","Non"
"272","AlwaysSpendPlayer","2 pièces","CONDOTTIERE","3","1","14","Non","Non"
"272","RandomPlayer","3 pièces","MAGICIEN","2","1","19","Non","Non"
"273","ThomasPlayer","3 pièces","ARCHITECTE","0","1","12","Non","Non"
"273","MattPlayer","3 pièces","MARCHAND","1","1","15","Non","Non"
"273","AlwaysSpendPlayer","3 pièces","ASSASSIN","3","0","13","Non","Non"
"273","RandomPlayer","2 pièces","ROI","1","0","22","Oui","Non"
"274","AlwaysSpendPlayer","4 pièces","MAGICIEN","0","1","33","Non","Oui"
"274","MattPlayer","2 pièces","VOLEUR","3","1","13","Non","Non"
"274","ThomasPlayer","2 pièces","CONDOTTIERE","0","0","33","Non","Oui"
"274","RandomPlayer","2 pièces","MAGICIEN","2","0","19","Non","Non"
"275","AlwaysSpendPlayer","3 pièces","ROI","1","0","25","Non","Non"
"275","RandomPlayer","2 pièces","MAGICIEN","0","0","15","Non","Non"
"275","ThomasPlayer","3 pièces","CONDOTTIERE","0","0","30","Oui","Non"
"275","MattPlayer","2 pièces","MARCHAND","1","0","29","Non","Non"
"276","ThomasPlayer","2 pièces","ARCHITECTE","0","0","29","Oui","Non"
"276","MattPlayer","2 pièces","MARCHAND","2","0","7","Non","Non"
"276","AlwaysSpendPlayer","3 pièces","CONDOTTIERE","1","0","10","Non","Non"
"276","RandomPlayer","2 pièces","EVEQUE","1","0","20","Non","Non"
"277","RandomPlayer","2 pièces","ROI","1","0","14","Non","Non"
"277","ThomasPlayer","2 pièces","ARCHITECTE","0","1","25","Oui","Non"
"277","MattPlayer","2 pièces","ARCHITECTE","0","0","18","Non","Non"
"277","AlwaysSpendPlayer","3 pièces","EVEQUE","1","0","22","Non","Non"
"278","RandomPlayer","2 pièces","VOLEUR","1","0","26","Oui","Non"
"278","AlwaysSpendPlayer","3 pièces","VOLEUR","0","1","12","Non","Non"
"278","MattPlayer","2 pièces","ASSASSIN","3","0","17","Non","Non"
"278","ThomasPlayer","4 pièces","CONDOTTIERE","1","0","12","Non","Non"
"279","RandomPlayer","2 pièces","ASSASSIN","2","0","11","Non","Non"
"279","MattPlayer","1 pièces","MARCHAND","1","1","3","Non","Non"
"279","ThomasPlayer","2 pièces","ARCHITECTE","0","0","28","Oui","Non"
"279","AlwaysSpendPlayer","3 pièces","MAGICIEN","1","0","19","Non","Non"
"280","RandomPlayer","2 pièces","EVEQUE","1","1","21","Non","Non"
"280","MattPlayer","3 pièces","MARCHAND","3","0","25","Non","Non"
"280","AlwaysSpendPlayer","3 pièces","MAGICIEN","2","0","28","Oui","Non"
"280","ThomasPlayer","3 pièces","ARCHITECTE","0","2","23","Non","Non"
